form_id,id,title,db_value,start_page,end_page
F635,P3A,"Part 3, Payments Made in Connection with Lobbying Activities, Section A, Payments To In-house Employee Lobbyists",F635P3A,4,
F635,P3B,"Part 3, Payments Made in Connection with Lobbying Activities, Section B, Payments To Lobbying Firms",F635P3B,4,
F635,P3C,"Part 3, Payments Made in Connection with Lobbying Activities, Section C, Activity Expenses",F635P3C,6,
F635,P3D,"Part 3, Payments Made in Connection with Lobbying Activities, Section D, Other Payments to Influence Legislative or Administrative Action",F635P3D,6,
F635,P3E,"Part 3, Payments Made in Connection with Lobbying Activities, Section E, Payments in Connection with Administrative Testimony in Ratemaking Proceedings Before The California Public Utilities Commission",F635P3E,6,
F635,P4B,"Part 4, Campaign Contributions Made",F635P4B,8,
F645,P1,"Part 1, Legislative or State Agency Administrative Actions Actively Lobbied during the Period",F645P1,2,
F645,P2A,"Part 2, Payments Made this Period, Section A, Activity Expenses",F645P2A,4,
F645,P2B,"Part 2, Payments Made this Period, Section B, Other Payments to Influence Legislative or Administrative Action",F645P2B,4,
F645,P2C,"Part 2, Payments Made this Period, Section C, Payments in Connection with Administrative Testimony in Ratemaking Proceedings Before the California Public Utilities Commission",F645P2C,4,
F645,P3B,"Part 3, Campaign Contributions Made",F645P3B,4,
