id,title,group,documentcloud_id,description,db_value
F603,Lobbyist Employer or Lobbying Coalition Registration Statement,LOBBYIST,2781346-603-2014-10,Form 603 is a registration statement filed by registered lobbyists employers or lobbying coalitions upon qualifying as an employer or coalition. This form is also used to renew an existing registration on a biennial basis. Form 603 must be filed within 10 days of qualifying as a lobbyist employer or lobbying coalition. Renewal of an existing registration is due between November 1 and December 31 of each even-numbered year. This registration is valid for the complete two-year cycle of such session.,
F604,Lobbyist Certification Statement,LOBBYIST,2781345-604-2014-10,"Form 604 is the certification statement filed by an individual who qualifies as a lobbyist (including an individual contract lobbyist). Form 604 is the initial certification statement and is also used as a renewal of a previous lobbyist certification. This form includes verification as to whether the lobbyist has attended a required course within the previous 12 months on ethical issues and laws relating to lobbying. When submitted as a paper filing, this form is an attachment to either the firm's Form 601 or the employer's Form 603. If the form is filed electronically, it is filed separately by the lobbyist.",
F605,"Amendment to Registration, Lobbying Firm, Lobbyist Employer, Lobbying Coalition",LOBBYIST,2781344-605-2014-10,"Form 605 is the standard amendment form used to amend any previously filed registration information. It is used to add or delete both lobbyists and clients to an existing registration. It is also used to change name, address, and responsible officer information, as well as any other pertinent information found on forms 601, 602, 603 or 604.",
F606,Notice of Termination,LOBBYIST,2781343-606-1997,"Form 606 is filed by any lobbying firm, registered lobbyist employer, lobbying coalition or lobbyist who wishes to terminate a filed registration or certification statement. A client of a firm (non-registered employer) does not use this form to cease lobbying activity. Instead it is deleted by the associated firm, which files a Form 605. Form 606 is filed within 20 days of ceasing all lobbying activity. A final quarterly disclosure statement must be filed for the quarter in which the date of termination is effective.",
F607,Notice of Withdrawal,LOBBYIST,2781342-607-1997-08,Form 607 is filed by a lobbying firm or lobbyist wishing to withdraw the filed registration statement of a firm which has never met the statutory definition of a lobbying firm or lobbyist. Submittal of this form relieves the filer of any duty to file any previously-required quarterly disclosure statements.,
F615,Lobbyist Report,LOBBYIST,2781341-615-1990,"Form 615 is the quarterly disclosure statement completed by the in-house lobbyist of a lobbying firm, lobbyist employer, or lobbying coalition. It is not filed on its own. For paper filers, it is an attachment to either Form 625 (Report of Lobbying Firm) or Form 635. (Report of Lobbyist Employer/Lobbying Coalition). Electronic or online filers file these as separate documents.",
F625,Report of Lobbying Firm,LOBBYIST,2781340-625-1990,"Form 625 is the quarterly disclosure statement filed by a lobbying firm (including individual contract lobbyists) each calendar quarter. If the firm employs one or more in-house lobbyists, then, for paper filers, a separate Form 615 (Lobbyist Report) must be attached for each lobbyist. Electronic or online filers file these as separate documents.",
S630,Payments Made to Lobbying Coalitions (Attachment to Form 625 or 635),LOBBYIST,2782806-630-1990,An attachment to the quarterly disclosure report filed by a lobbying firm or lobbyist employer which makes payments to a lobbying coalition. This attachment itemizes such payments.,
F635,Report of Lobbyist Employer or Report of Lobbying Coalition,LOBBYIST,2781339-635-1993,"Form 635 is the quarterly disclosure statement filed by a lobbyist employer or a lobbying coalition. For employers and lobbying coalitions filing on paper, a separate Form 615 must be completed for each in-house lobbyist and attached to Form 635. Electronic or online filers file these as separate documents. This form is also used as a quarterly disclosure statement for a client of a firm which has no in-house lobbyist (also referred to as a non-registered employer).",
S635C,Payments Received by Lobbying Coalitions,LOBBYIST,2781338-635C-1990,Form 635C is filed by a lobbying coalition as an attachment to the Form 635 (Report of a Lobbying Coalition) and discloses all payment received from the members of a coalition.,S635-C
S640,Governmental Agencies Reporting (Attachment to Form 635 or Form 645),LOBBYIST,2781337-640-1993,"Form 640 is filed by a state or local governmental agency which qualifies as a lobbyist employer or $5,000 filer. The attachment replaces Section D of Form 635 and Section B of Form 645 (Other Payments to Influence Legislative or Administrative Action). It is filed in conjunction with either Form 635 if a lobbyist employer or Form 645 if a $5,000 filer.",
F645,"Report of Person Spending $5,000 or More",LOBBYIST,2781336-645-1993,"Form 645 is the quarterly disclosure document filed by a $5,000 filer (i.e. a person who does not employ a lobbyist or contract with a lobbying firm, but who makes payments to influence legislative or administrative action in aggregation of $5,000 or more in any calendar quarter). The filer does not submit a registration or termination statement, and is only required to file Form 645 in those calendar quarters which $5,000 or more is spent to influence legislative or administrative action. Form 645 must be filed electronically.",
F690,Amendment to Lobbying Disclosure Report,LOBBYIST,2781335-690-1990,"Form 690 is filed by a lobbying firm, lobbyist employer, lobbying coalition, $5,000 filer or lobbyist seeking to amend any information previously submitted on a quarterly disclosure report. Any amendment to the registration statement should be made on Form 605 rather than Form 690. Amendments must be filed by the same method (paper or electronic) as the original form.",
F700,Statement of Economic Interest,FINANCIAL DISCLOSURE,2792958-700-2015-12,Every public official who makes or participates in making governmental decisions is required to file.,
F900,Campaign Disclosure Statement (Public employee retirement board candidate),CAMPAIGN,,,
